City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,kristinestad,62.2743,21.376,-2.17,81,7,3.58,FI,1698422041
82,howrah,22.5892,88.3103,27.0,78,20,2.06,IN,1698422042
83,cockburn town,21.4612,-71.1419,27.62,67,1,7.39,TC,1698422043
84,dubbo,-32.25,148.6167,9.07,81,2,4.63,AU,1698422040
85,labrador city,52.9463,-66.9114,-1.05,69,100,2.57,CA,1698422044
86,visakhapatnam,17.69,83.2093,25.94,78,40,1.03,IN,1698422044
87,hawaiian paradise park,19.5933,-154.9731,21.69,90,20,2.06,US,1698422045
88,quelimane,-17.8786,36.8883,26.97,83,40,7.2,MZ,1698422045
89,yellowknife,62.456,-114.3525,-6.44,99,75,3.09,CA,1698421971
90,san lorenzo de esmeraldas,1.2883,-78.8369,27.44,77,94,1.34,EC,1698422046
91,uturoa,-16.7333,-151.4333,23.07,85,100,9.86,PF,1698422047
92,landeck,47.1301,10.5636,13.41,87,69,0.79,AT,1698422047
93,aasiaat,68.7098,-52.8699,-8.86,82,100,1.42,GL,1698422048
94,tura,25.5198,90.2201,19.47,80,0,1.31,IN,1698421864
95,yuzhno-kurilsk,44.0306,145.8556,11.32,87,99,2.91,RU,1698422049
96,ribeira grande,38.5167,-28.7,20.22,68,75,8.23,PT,1698421972
97,daru,-9.0763,143.2092,25.84,82,98,5.01,PG,1698422051
98,corner brook,48.9667,-57.9484,7.09,70,98,1.58,CA,1698421869
99,anadyr,64.75,177.4833,-0.72,100,100,4.0,RU,1698422052
100,fortuna,40.5982,-124.1573,5.75,100,0,4.12,US,1698422052
101,iqaluit,63.7506,-68.5145,-3.15,63,75,4.12,CA,1698422048
102,mossel bay,-34.1831,22.146,15.96,82,100,6.7,ZA,1698422054
103,qurayyat,31.3318,37.3428,30.1,23,40,9.26,SA,1698422055
104,georgetown,5.4112,100.3354,27.96,89,20,2.06,MY,1698421991
105,kodiak,57.79,-152.4072,7.73,87,100,3.6,US,1698422056
106,thompson,55.7435,-97.8558,-3.91,80,75,2.06,CA,1698422057
107,beberibe,-4.1797,-38.1306,30.92,54,93,5.26,BR,1698421959
108,fortaleza,-3.7227,-38.5247,31.07,64,20,8.23,BR,1698422051
109,kansk,56.2017,95.7175,-1.29,43,47,8.34,RU,1698422059
110,porto novo,6.4965,2.6036,30.9,69,36,4.42,BJ,1698422060
111,ankazoabo,-22.2833,44.5167,27.36,36,9,3.85,MG,1698422061
112,oamaru,-45.0784,170.9801,4.1,73,5,4.04,NZ,1698422061
113,hithadhoo,-0.6,73.0833,27.33,82,79,7.26,MV,1698422062
114,whitehorse,60.7161,-135.0538,-10.66,85,40,1.03,CA,1698422062
115,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,75,4.0,RU,1698422063
116,college,64.8569,-147.8028,-9.75,83,40,0.0,US,1698422063
117,naze,28.3667,129.4833,19.51,60,53,5.42,JP,1698422064
118,vorgashor,67.5833,63.95,-8.12,95,100,3.9,RU,1698421965
119,puerto baquerizo moreno,-0.9,-89.6,26.55,74,75,6.17,EC,1698422065
120,bethel,41.3712,-73.414,20.78,62,0,2.57,US,1698422065
121,eynesil,41.0645,39.1438,21.14,62,80,3.68,TR,1698422065
122,coahuayana de hidalgo,18.7,-103.6583,28.15,71,97,0.49,MX,1698422066
123,olonkinbyen,70.9221,-8.7187,-1.18,70,9,1.61,SJ,1698422067
124,avarua,-21.2078,-159.775,21.03,68,18,4.12,CK,1698422067
125,hasaki,35.7333,140.8333,14.05,60,2,2.63,JP,1698421967
126,st. john's,47.5649,-52.7093,10.08,75,75,4.47,CA,1698422068
127,kathu,7.9178,98.3332,30.94,70,48,2.37,TH,1698421829
128,axim,4.8699,-2.2405,27.6,76,49,3.61,GH,1698422069
129,mwanza,-2.5167,32.9,26.03,65,40,5.14,TZ,1698422070
130,walvis bay,-22.9575,14.5053,20.53,64,75,5.14,NA,1698422070
131,molina,-35.1167,-71.2833,15.21,60,100,2.57,CL,1698422071
132,qaqortoq,60.7167,-46.0333,0.56,50,100,1.4,GL,1698422072
133,tambura,5.6,27.4667,21.09,94,100,2.31,SS,1698422072
